pId,version,effectiveness,ex1Duration,ex2Duration,ex3Duration,diff-ex1,diff-ex2,diff-ex3,yearsOfProgramming,expert-java,expert-web,expert-sbs,expert-patterns,expert-spatterns,intro,age,gender,study,semester
1,1,0.333333333,1896,,,2,7,,3,10,7,1,1,1,1,21,0,B.Sc. Informatik,2
2,2,0.333333333,2026,,,3,10,,1,4,3,1,2,1,1,20,0,B.Sc. Softwaretechnik,2
3,1,0.333333333,1381,,,2,7,,1,10,6,1,8,4,1,22,1,B.Sc. Informatik,8
4,2,0,,,,5,8,9,1,2,1,1,1,1,0,19,1,B.Sc. Wirtschaftsinformatik,2
5,1,0.333333333,1727,,,3,5,,3,7,4,1,7,1,1,19,0,B.Sc. Softwaretechnik,2
7,1,1,2266,1166,1184,5,2,3,3,5,9,4,7,1,1,23,1,B.Sc. Softwaretechnik,2
8,2,0.333333333,4118,,,5,,,4,9,2,1,3,1,0,19,1,B.Sc. Softwaretechnik,2
9,1,0,,,,1,1,5,1,3,2,1,1,1,0,19,0,B.Sc. Wirtschaftsinformatik,2
10,2,1,1701,2139,820,3,2,1,4,8,6,1,9,2,0,19,1,B.Sc. Wirtschaftsinformatik,2
11,1,0.666666667,1126,2398,,6,9,10,2,7,2,1,1,1,1,18,0,B.Sc. Wirtschaftsinformatik,2
12,2,0,,,,3,3,3,1,5,2,1,5,3,0,19,0,B.Sc. Wirtschaftsinformatik,2
13,1,0.333333333,4880,,,7,,,1,8,5,2,3,3,1,20,1,B.Sc. Wirtschaftsinformatik,2
14,2,0.333333333,5275,,,6,,,1,8,5,2,2,3,1,21,1,B.Sc. Wirtschaftsinformatik,2
15,1,0,,,,2,2,6,1,5,1,1,1,1,1,22,1,B.Sc. Wirtschaftsinformatik,2
16,2,0,,,,4,,,1,6,1,1,1,1,1,22,1,B.Sc. Wirtschaftsinformatik,2
18,2,0.333333333,3085,,,1,8,,1,7,4,5,8,1,0,23,0,B.Sc. Informatik,3
19,1,0.666666667,1499,3140,,3,5,5,1,7,4,2,2,2,1,20,1,B.Sc. Softwaretechnik,2
20,2,0,,,,4,,,1,7,1,1,1,1,1,21,1,B.Sc. Softwaretechnik,2
21,1,0,,,,6,7,8,1,5,1,1,3,2,1,20,1,B.Sc. Wirtschaftsinformatik,2
22,2,1,283,803,387,1,3,4,5,9,9,5,8,5,1,25,1,Other,6
23,1,1,1396,1163,974,2,3,2,4,10,3,2,8,1,1,19,1,B.Sc. Softwaretechnik,2
24,2,1,1358,1549,614,3,4,1,4,9,10,4,9,4,1,19,1,B.Sc. Softwaretechnik,2
25,1,0,,,,10,10,10,1,5,1,1,1,1,1,20,0,B.Sc. Softwaretechnik,2
26,2,0.333333333,1817,,,5,5,5,6,9,10,10,10,10,1,25,1,B.Sc. Softwaretechnik,2
28,2,1,1247,2060,546,3,2,3,3,8,1,1,8,5,1,20,1,B.Sc. Softwaretechnik,2
29,1,1,900,1858,2605,3,5,7,2,6,1,1,6,1,1,19,1,B.Sc. Softwaretechnik,2
31,1,1,1707,1768,1662,2,4,6,4,8,3,1,7,1,1,18,1,B.Sc. Softwaretechnik,2
32,2,1,1559,1017,795,1,1,1,3,9,3,1,7,1,1,19,1,B.Sc. Softwaretechnik,2
33,1,0.333333333,3120,,,2,5,,1,7,1,1,1,1,1,20,1,B.Sc. Softwaretechnik,2
34,2,0,,,,6,9,9,0,3,1,1,1,1,0,21,1,Other,4
35,1,0.666666667,1176,2737,,5,8,6,3,8,4,1,8,1,1,21,1,B.Sc. Wirtschaftsinformatik,2
36,2,1,1397,2260,740,4,3,1,12,8,10,1,7,7,1,26,1,B.Sc. Wirtschaftsinformatik,2
37,1,0.666666667,2110,1804,,4,4,5,3,6,8,1,5,5,1,22,1,B.Sc. Softwaretechnik,2
38,2,0,,,,4,4,,2,6,8,1,1,1,1,21,1,B.Sc. Softwaretechnik,2
39,1,0.666666667,398,2960,,1,4,5,7,2,9,6,5,6,1,24,1,B.Sc. Softwaretechnik,3
41,1,0.333333333,3958,,,4,10,10,2,6,1,1,1,1,1,19,1,B.Sc. Wirtschaftsinformatik,2
